City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,torbay,47.6666,-52.7314,-1.35,94,75,2.57,CA,1673232969
112,fortuna,40.5982,-124.1573,11.63,74,20,7.2,US,1673232969
113,belle fourche,44.6714,-103.8522,6.3,42,83,2.32,US,1673232969
114,clyde river,70.4692,-68.5914,-31.87,68,0,3.6,CA,1673232970
115,port elizabeth,-33.918,25.5701,18.51,88,20,1.54,ZA,1673232970
116,qasigiannguit,68.8193,-51.1922,-23.6,87,66,1.94,GL,1673232970
117,tiksi,71.6872,128.8694,-37.01,99,100,1.02,RU,1673232971
118,gondanglegi,-7.7479,112.0132,29.41,63,100,2.06,ID,1673232971
119,sao felix do xingu,-6.6447,-51.995,21.75,95,100,0.38,BR,1673232769
120,texiguat,13.6497,-87.0225,22.16,72,20,2.65,HN,1673232972
121,saint anthony,45.0205,-93.218,-8.25,87,0,2.06,US,1673232972
122,guerrero negro,27.9769,-114.0611,15.07,68,0,4.11,MX,1673232972
123,kudahuvadhoo,2.6708,72.8944,27.34,74,20,6.96,MV,1673232973
124,ekhabi,53.5102,142.9671,-14.52,90,100,5.26,RU,1673232973
125,nador,35.174,-2.9287,18.04,72,0,3.09,MA,1673232973
126,mount isa,-20.7333,139.5,31.87,45,75,3.09,AU,1673232974
127,flin flon,54.7682,-101.865,-16.71,99,90,2.13,CA,1673232974
128,rocha,-34.4833,-54.3333,17.05,94,1,3.12,UY,1673232975
129,lavrentiya,65.5833,-171.0,-22.72,94,12,1.9,RU,1673232975
130,altamont,42.2068,-121.7372,2.77,79,38,2.68,US,1673232975
131,jiayuguan,39.8167,98.3,-0.09,19,0,2.23,CN,1673232976
132,gao,16.6362,1.637,18.99,19,73,6.18,ML,1673232976
133,biak,-0.9131,122.8766,26.21,71,100,0.31,ID,1673232977
134,khani,41.9563,42.9566,-2.24,93,100,1.58,GE,1673232977
135,jumla,29.2747,82.1838,10.07,21,0,1.12,NP,1673232977
136,pathein,16.7833,94.7333,26.68,60,0,3.04,MM,1673232978
137,khatanga,71.9667,102.5,-49.29,100,74,1.69,RU,1673232978
138,kahului,20.8947,-156.47,26.65,78,13,2.24,US,1673232979
139,fez,34.0372,-4.9998,12.14,58,0,3.09,MA,1673232979
140,prince rupert,54.3161,-130.3201,8.83,71,0,7.72,CA,1673232979
141,hamilton,39.1834,-84.5333,3.01,84,88,0.89,US,1673232980
142,naliya,23.2667,68.8333,20.2,50,0,3.44,IN,1673232935
143,chuy,-33.6971,-53.4616,18.72,82,0,3.3,UY,1673232832
144,emerald,-23.5333,148.1667,35.19,37,100,4.63,AU,1673232734
145,ramachandrapuram,16.85,82.0167,18.23,55,0,2.23,IN,1673232981
146,la orilla,17.9833,-102.2333,23.59,82,0,1.13,MX,1673232767
147,aquiraz,-3.9014,-38.3911,27.32,80,100,4.59,BR,1673232981
148,bethel,41.3712,-73.414,1.38,79,67,0.45,US,1673232921
149,riverside,33.7333,-116.0508,12.32,47,69,0.74,US,1673232823
150,fallon,39.4735,-118.7774,4.69,55,100,1.68,US,1673232982
151,taveta,-3.3963,37.6736,19.55,91,94,1.83,KE,1673232982
152,jalu,29.0331,21.5482,11.21,85,0,4.14,LY,1673232983
153,tucupita,9.0622,-62.051,21.95,99,100,1.36,VE,1673232983
154,bilibino,68.0546,166.4372,-28.12,95,100,0.08,RU,1673232983
155,santa lucia,27.9117,-15.5407,13.62,72,40,3.6,ES,1673232984
156,omboue,-1.5746,9.2618,23.03,95,100,1.45,GA,1673232984
157,touros,-5.1989,-35.4608,25.56,78,85,4.11,BR,1673232985
158,bintulu,3.1667,113.0333,25.23,88,20,1.54,MY,1673232985
159,bikramganj,25.2,84.25,12.21,36,0,2.52,IN,1673232985
160,meulaboh,4.1363,96.1285,26.8,74,97,1.28,ID,1673232782
161,liuzhou,24.3126,109.3892,17.45,69,84,1.49,CN,1673232986
162,bayji,34.9311,43.487,8.91,78,61,2.71,IQ,1673232986
163,quatre cocos,-20.2078,57.7625,26.16,75,22,4.88,MU,1673232987
164,kargasok,59.0556,80.8572,-20.15,94,100,7.4,RU,1673232987
165,yellowknife,62.456,-114.3525,-11.71,85,100,3.6,CA,1673232987
166,murmashi,68.8154,32.8115,-10.77,78,0,4.02,RU,1673232963
167,ponta do sol,32.6667,-17.1,18.35,81,0,0.85,PT,1673232988
168,udachnyy,66.4167,112.4,-52.17,100,68,0.72,RU,1673232988
169,morgan city,29.6994,-91.2068,17.78,98,100,2.22,US,1673232988
170,kaitangata,-46.2817,169.8464,21.33,55,0,3.97,NZ,1673232989
171,jinja,0.439,33.2032,17.24,86,72,0.42,UG,1673232989
172,lokosovo,61.1333,74.8167,-25.65,97,100,6.77,RU,1673232990
173,lujan,-34.5703,-59.105,24.84,77,0,0.89,AR,1673232990
174,sao filipe,14.8961,-24.4956,22.8,66,0,5.8,CV,1673232991
175,viedma,-40.8135,-62.9967,25.45,53,46,9.36,AR,1673232991
176,pevek,69.7008,170.3133,-31.0,97,100,0.66,RU,1673232991
177,bengkulu,-3.8004,102.2655,26.75,74,100,2.11,ID,1673232541
178,chatellerault,46.8,0.5333,7.53,15,54,7.49,FR,1673232992
